radni-dan,kalendarski-dan,jedinica,kurs
01.09.2017.,01.09.2017.,1,80.3020
01.09.2017.,02.09.2017.,1,80.3020
01.09.2017.,03.09.2017.,1,80.3020
04.09.2017.,04.09.2017.,1,80.9665
05.09.2017.,05.09.2017.,1,80.9905
06.09.2017.,06.09.2017.,1,80.9711
07.09.2017.,07.09.2017.,1,81.9849
08.09.2017.,08.09.2017.,1,82.0219
08.09.2017.,09.09.2017.,1,82.0219
08.09.2017.,10.09.2017.,1,82.0219
11.09.2017.,11.09.2017.,1,81.8884
12.09.2017.,12.09.2017.,1,82.4846
13.09.2017.,13.09.2017.,1,81.8377
14.09.2017.,14.09.2017.,1,82.3650
15.09.2017.,15.09.2017.,1,82.0518
15.09.2017.,16.09.2017.,1,82.0518
15.09.2017.,17.09.2017.,1,82.0518
18.09.2017.,18.09.2017.,1,81.8497
19.09.2017.,19.09.2017.,1,80.7677
20.09.2017.,20.09.2017.,1,80.6175
21.09.2017.,21.09.2017.,1,81.0996
22.09.2017.,22.09.2017.,1,80.8905
22.09.2017.,23.09.2017.,1,80.8905
22.09.2017.,24.09.2017.,1,80.8905
25.09.2017.,25.09.2017.,1,81.0065
26.09.2017.,26.09.2017.,1,81.4220
27.09.2017.,27.09.2017.,1,82.0108
28.09.2017.,28.09.2017.,1,81.3519
29.09.2017.,29.09.2017.,1,81.4951
29.09.2017.,30.09.2017.,1,81.4951
29.09.2017.,01.10.2017.,1,81.4951
02.10.2017.,02.10.2017.,1,81.0170
03.10.2017.,03.10.2017.,1,81.2220
04.10.2017.,04.10.2017.,1,81.2347
05.10.2017.,05.10.2017.,1,81.1989
06.10.2017.,06.10.2017.,1,80.9216
06.10.2017.,07.10.2017.,1,80.9216
06.10.2017.,08.10.2017.,1,80.9216
09.10.2017.,09.10.2017.,1,80.9797
10.10.2017.,10.10.2017.,1,80.9689
11.10.2017.,11.10.2017.,1,80.7805
12.10.2017.,12.10.2017.,1,80.8530
13.10.2017.,13.10.2017.,1,80.8289
13.10.2017.,14.10.2017.,1,80.8289
13.10.2017.,15.10.2017.,1,80.8289
16.10.2017.,16.10.2017.,1,80.9251
17.10.2017.,17.10.2017.,1,80.7411
18.10.2017.,18.10.2017.,1,80.9969
19.10.2017.,19.10.2017.,1,80.9215
20.10.2017.,20.10.2017.,1,80.5929
20.10.2017.,21.10.2017.,1,80.5929
20.10.2017.,22.10.2017.,1,80.5929
23.10.2017.,23.10.2017.,1,80.2217
24.10.2017.,24.10.2017.,1,80.2817
25.10.2017.,25.10.2017.,1,80.0343
26.10.2017.,26.10.2017.,1,79.0017
27.10.2017.,27.10.2017.,1,79.7178
27.10.2017.,28.10.2017.,1,79.7178
27.10.2017.,29.10.2017.,1,79.7178
30.10.2017.,30.10.2017.,1,80.0841
31.10.2017.,31.10.2017.,1,79.8726
01.11.2017.,01.11.2017.,1,79.4297
02.11.2017.,02.11.2017.,1,79.5516
03.11.2017.,03.11.2017.,1,79.5457
03.11.2017.,04.11.2017.,1,79.5457
03.11.2017.,05.11.2017.,1,79.5457
06.11.2017.,06.11.2017.,1,80.0255
07.11.2017.,07.11.2017.,1,80.3376
08.11.2017.,08.11.2017.,1,80.1161
09.11.2017.,09.11.2017.,1,80.4820
10.11.2017.,10.11.2017.,1,80.4822
10.11.2017.,11.11.2017.,1,80.4822
10.11.2017.,12.11.2017.,1,80.4822
13.11.2017.,13.11.2017.,1,80.2234
14.11.2017.,14.11.2017.,1,79.7374
15.11.2017.,15.11.2017.,1,78.9367
16.11.2017.,16.11.2017.,1,78.7673
17.11.2017.,17.11.2017.,1,78.7804
17.11.2017.,18.11.2017.,1,78.7804
17.11.2017.,19.11.2017.,1,78.7804
20.11.2017.,20.11.2017.,1,78.9935
21.11.2017.,21.11.2017.,1,78.8234
22.11.2017.,22.11.2017.,1,79.1908
23.11.2017.,23.11.2017.,1,79.1723
24.11.2017.,24.11.2017.,1,79.1676
24.11.2017.,25.11.2017.,1,79.1676
24.11.2017.,26.11.2017.,1,79.1676
27.11.2017.,27.11.2017.,1,78.7345
28.11.2017.,28.11.2017.,1,78.7486
29.11.2017.,29.11.2017.,1,78.7852
30.11.2017.,30.11.2017.,1,78.2177
01.12.2017.,01.12.2017.,1,77.6681
01.12.2017.,02.12.2017.,1,77.6681
01.12.2017.,03.12.2017.,1,77.6681
04.12.2017.,04.12.2017.,1,78.9667
05.12.2017.,05.12.2017.,1,79.4447
06.12.2017.,06.12.2017.,1,79.5058
07.12.2017.,07.12.2017.,1,79.1315
08.12.2017.,08.12.2017.,1,79.0816
08.12.2017.,09.12.2017.,1,79.0816
08.12.2017.,10.12.2017.,1,79.0816
11.12.2017.,11.12.2017.,1,79.0482
12.12.2017.,12.12.2017.,1,79.0918
13.12.2017.,13.12.2017.,1,79.0816
14.12.2017.,14.12.2017.,1,78.8282
15.12.2017.,15.12.2017.,1,79.2209
15.12.2017.,16.12.2017.,1,79.2209
15.12.2017.,17.12.2017.,1,79.2209
18.12.2017.,18.12.2017.,1,78.7156
19.12.2017.,19.12.2017.,1,78.3583
20.12.2017.,20.12.2017.,1,78.1847
21.12.2017.,21.12.2017.,1,78.3602
22.12.2017.,22.12.2017.,1,78.8384
22.12.2017.,23.12.2017.,1,78.8384
22.12.2017.,24.12.2017.,1,78.8384
25.12.2017.,25.12.2017.,1,78.7283
26.12.2017.,26.12.2017.,1,78.4948
27.12.2017.,27.12.2017.,1,78.5220
28.12.2017.,28.12.2017.,1,78.7052
29.12.2017.,29.12.2017.,1,78.9397
29.12.2017.,30.12.2017.,1,78.9397
29.12.2017.,31.12.2017.,1,78.9397
29.12.2017.,01.01.2018.,1,78.9397
29.12.2017.,02.01.2018.,1,78.9397
03.01.2018.,03.01.2018.,1,78.4612
04.01.2018.,04.01.2018.,1,78.7811
05.01.2018.,05.01.2018.,1,78.9038
05.01.2018.,06.01.2018.,1,78.9038
05.01.2018.,07.01.2018.,1,78.9038
08.01.2018.,08.01.2018.,1,79.6485
09.01.2018.,09.01.2018.,1,79.8528
10.01.2018.,10.01.2018.,1,79.7115
11.01.2018.,11.01.2018.,1,79.1881
12.01.2018.,12.01.2018.,1,78.6514
12.01.2018.,13.01.2018.,1,78.6514
12.01.2018.,14.01.2018.,1,78.6514
15.01.2018.,15.01.2018.,1,77.9091
16.01.2018.,16.01.2018.,1,77.6090
17.01.2018.,17.01.2018.,1,77.5970
18.01.2018.,18.01.2018.,1,77.9695
19.01.2018.,19.01.2018.,1,77.8166
19.01.2018.,20.01.2018.,1,77.8166
19.01.2018.,21.01.2018.,1,77.8166
22.01.2018.,22.01.2018.,1,77.6543
23.01.2018.,23.01.2018.,1,77.6889
24.01.2018.,24.01.2018.,1,77.6079
25.01.2018.,25.01.2018.,1,77.4956
26.01.2018.,26.01.2018.,1,77.2956
26.01.2018.,27.01.2018.,1,77.2956
26.01.2018.,28.01.2018.,1,77.2956
29.01.2018.,29.01.2018.,1,77.4260
30.01.2018.,30.01.2018.,1,77.6827
31.01.2018.,31.01.2018.,1,77.5742
01.02.2018.,01.02.2018.,1,77.7093
02.02.2018.,02.02.2018.,1,77.2994
02.02.2018.,03.02.2018.,1,77.2994
02.02.2018.,04.02.2018.,1,77.2994
05.02.2018.,05.02.2018.,1,76.6547
06.02.2018.,06.02.2018.,1,76.3703
07.02.2018.,07.02.2018.,1,76.5933
08.02.2018.,08.02.2018.,1,76.9959
09.02.2018.,09.02.2018.,1,76.8571
09.02.2018.,10.02.2018.,1,76.8571
09.02.2018.,11.02.2018.,1,76.8571
12.02.2018.,12.02.2018.,1,76.8547
13.02.2018.,13.02.2018.,1,76.4532
14.02.2018.,14.02.2018.,1,75.9960
14.02.2018.,15.02.2018.,1,75.9960
14.02.2018.,16.02.2018.,1,75.9960
14.02.2018.,17.02.2018.,1,75.9960
14.02.2018.,18.02.2018.,1,75.9960
19.02.2018.,19.02.2018.,1,75.9513
20.02.2018.,20.02.2018.,1,75.9141
21.02.2018.,21.02.2018.,1,75.7247
22.02.2018.,22.02.2018.,1,75.7695
23.02.2018.,23.02.2018.,1,75.4172
23.02.2018.,24.02.2018.,1,75.4172
23.02.2018.,25.02.2018.,1,75.4172
26.02.2018.,26.02.2018.,1,75.8500
27.02.2018.,27.02.2018.,1,75.5067
28.02.2018.,28.02.2018.,1,75.6006
01.03.2018.,01.03.2018.,1,75.3760
02.03.2018.,02.03.2018.,1,74.9069
02.03.2018.,03.03.2018.,1,74.9069
02.03.2018.,04.03.2018.,1,74.9069
05.03.2018.,05.03.2018.,1,74.2946
06.03.2018.,06.03.2018.,1,73.6416
07.03.2018.,07.03.2018.,1,73.4762
08.03.2018.,08.03.2018.,1,73.8009
09.03.2018.,09.03.2018.,1,74.3436
09.03.2018.,10.03.2018.,1,74.3436
09.03.2018.,11.03.2018.,1,74.3436
12.03.2018.,12.03.2018.,1,74.7974
13.03.2018.,13.03.2018.,1,74.4918
14.03.2018.,14.03.2018.,1,73.6174
15.03.2018.,15.03.2018.,1,73.8612
16.03.2018.,16.03.2018.,1,73.6010
16.03.2018.,17.03.2018.,1,73.6010
16.03.2018.,18.03.2018.,1,73.6010
19.03.2018.,19.03.2018.,1,73.4853
20.03.2018.,20.03.2018.,1,73.2832
21.03.2018.,21.03.2018.,1,74.1564
22.03.2018.,22.03.2018.,1,74.4722
23.03.2018.,23.03.2018.,1,74.3088
23.03.2018.,24.03.2018.,1,74.3088
23.03.2018.,25.03.2018.,1,74.3088
26.03.2018.,26.03.2018.,1,74.4091
27.03.2018.,27.03.2018.,1,74.2329
